4956,4925,5338,4935,4501,4688,4020,NaN,4788,5304,NaN,NaN,4680,4353,4729,NaN,NaN,3935,NaN,4189,6987,3996,4763,4866,7033,NaN,5539,6165,5819,7660,6441,6994,4959,NaN,7585,4233,NaN,5199,NaN,5641,NaN,4635,3903,4049,5535,10619,NaN,4121,7139,5322,5343,NaN,6817,NaN,6821,NaN
6.0902e+05,3.4008e+05,NaN,NaN,NaN,4.3051e+05,3.04e+05,3.2856e+05,5.1746e+05,2.8158e+05,3.3321e+05,3.0612e+05,NaN,3.3927e+05,3.1863e+05,4.3086e+05,4.2265e+05,5.2156e+05,NaN,3.6505e+05,NaN,3.9631e+05,NaN,2.271e+05,3.505e+05,2.4278e+05,2.9381e+05,4.0942e+05,2.7286e+05,4.8791e+05,2.9992e+05,3.286e+05,NaN,3.8024e+05,2.5897e+05,NaN,3.3184e+05,NaN,4.2468e+05,3.2417e+05,NaN,4.0043e+05,5.5544e+05,NaN,5.5082e+05,NaN,4.5631e+05,4.0724e+05,4.7469e+05,3.27e+05,5.2781e+05,NaN,NaN,3.6961e+05,NaN,2.5595e+05
NaN,832,NaN,797,1111,880,1798,NaN,2136,1027,1754,845,870,865,1086,NaN,NaN,946,NaN,677,855,1205,690,NaN,NaN,796,928,1172,1018,1190,999,1214,1312,793,1914,727,1045,896,1623,971,NaN,1339,1035,809,1000,970,1215,1135,983,813,NaN,830,1289,834,1586,NaN
NaN,1.1728e+05,1.205e+05,74974,NaN,NaN,NaN,1.2444e+05,1.3073e+05,1.4191e+05,1.5314e+05,NaN,1.3017e+05,1.6784e+05,1.4501e+05,1.9809e+05,NaN,NaN,NaN,NaN,NaN,64819,1.683e+05,1.0607e+05,1.9039e+05,1.7916e+05,65836,NaN,NaN,98607,1.1944e+05,94139,1.4436e+05,1.5391e+05,NaN,1.8053e+05,1.7449e+05,1.6134e+05,1.5218e+05,1.4183e+05,1.6643e+05,2.0502e+05,1.7654e+05,NaN,1.9293e+05,1.1823e+05,NaN,1.7969e+05,1.5418e+05,1.7163e+05,1.9884e+05,1.0285e+05,2.0929e+05,2.3447e+05,1.5622e+05,NaN
6.637e+05,5.6985e+05,6.5978e+05,7.4596e+05,6.9539e+05,NaN,8.3019e+05,5.7874e+05,NaN,6.7618e+05,1.2658e+06,6.698e+05,6.2965e+05,7.2514e+05,6.8319e+05,9.719e+05,1.2832e+06,7.461e+05,6.6605e+05,8.7334e+05,8.0233e+05,NaN,6.7243e+05,NaN,9.1695e+05,7.2859e+05,NaN,7.0403e+05,7.0226e+05,5.7135e+05,6.9591e+05,NaN,4.1043e+05,NaN,1.1289e+06,8.1588e+05,NaN,NaN,6.0307e+05,NaN,6.0743e+05,2.5789e+06,8.3231e+05,5.9706e+05,7.4353e+05,NaN,NaN,1.0338e+06,7.8983e+05,7.5902e+05,6.3046e+05,NaN,NaN,7.7204e+05,3.2477e+05,4.4469e+05
1.3836e+05,1.8141e+05,2.1762e+05,NaN,2.0165e+05,1.6612e+05,NaN,NaN,1.9411e+05,2.101e+05,1.5423e+05,1.2543e+05,1.7988e+05,NaN,2.2313e+05,1.5807e+05,2.026e+05,2.6912e+05,NaN,3.0537e+05,NaN,1.9946e+05,NaN,1.5522e+05,NaN,1.8197e+05,NaN,1.7244e+05,1.4262e+05,1.9734e+05,1.3278e+05,1.7205e+05,1.4366e+05,2.2608e+05,1.2781e+05,2.3315e+05,1.6413e+05,1.27e+05,NaN,NaN,1.9582e+05,1.5857e+05,NaN,1.4701e+05,NaN,1.6877e+05,NaN,1.7511e+05,1.2851e+05,1.711e+05,NaN,NaN,1.3519e+05,2.3606e+05,2.1507e+05,NaN
1.5113e+05,1.2848e+05,2.0339e+05,1.8677e+05,1.6055e+05,1.6166e+05,1.8881e+05,NaN,NaN,1.9442e+05,NaN,1.4313e+05,NaN,1.8152e+05,1.8301e+05,NaN,2.0459e+05,1.7217e+05,NaN,1.8524e+05,NaN,NaN,1.4155e+05,1.6466e+05,NaN,1.7179e+05,NaN,NaN,1.289e+05,NaN,1.0966e+05,1.1047e+05,1.8585e+05,1.6384e+05,NaN,2.1241e+05,NaN,NaN,1.9785e+05,1.1956e+05,2.4337e+05,NaN,1.2338e+05,1.4895e+05,1.3155e+05,1.2599e+05,1.9687e+05,NaN,1.1279e+05,NaN,NaN,1.2032e+05,1.1871e+05,2.1493e+05,1.4549e+05,NaN
10592,NaN,5827,11181,12544,14904,9924,7733,10196,12591,NaN,6978,6307,15051,7281,14511,10729,NaN,4808,10264,NaN,NaN,NaN,7213,NaN,NaN,6519,9398,6973,9833,7292,NaN,10358,9007,5947,3732,9620,14072,10695,NaN,14630,12754,12338,8912,22669,6599,NaN,NaN,12342,6603,10215,NaN,13877,9867,6127,6223
664,NaN,1073,780,NaN,1236,1362,NaN,847,733,862,1111,975,NaN,945,1510,NaN,892,1051,1469,1380,914,875,1029,829,1338,NaN,546,NaN,1335,879,1095,1569,634,NaN,975,NaN,NaN,1056,971,NaN,NaN,1003,NaN,1066,833,1985,925,1215,1081,665,NaN,880,NaN,1291,781
NaN,NaN,NaN,26836,NaN,19278,26013,16011,NaN,16322,17747,11414,15575,25450,15225,NaN,17293,67541,NaN,NaN,NaN,19163,18509,NaN,30177,13286,18825,21343,17415,NaN,13081,21622,19598,24011,13984,NaN,NaN,24056,22133,16543,NaN,21287,22930,NaN,NaN,13836,12973,34888,16429,15022,30330,NaN,11479,22557,13741,NaN
