150,NaN,NaN,NaN,171,251,240,NaN,NaN,201,218,204,3866,4186,NaN,6492,5526,NaN,4216,2442,3156,3436,3390,1732,153,180,NaN,NaN,169,121
510,381,400,NaN,551,781,662,430,591,527,887,617,206,NaN,NaN,NaN,NaN,NaN,189,NaN,301,170,171,NaN,NaN,356,382,515,NaN,435
NaN,NaN,86,80,88,97,89,115,NaN,106,NaN,99,87,82,106,60,70,NaN,79,105,105,87,68,NaN,74,59,54,NaN,86,NaN
193,266,228,NaN,296,NaN,307,241,NaN,326,203,223,1071,715,1381,1255,1763,NaN,NaN,NaN,1068,1902,1578,1519,NaN,NaN,NaN,NaN,140,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,1.7381e+05,NaN,1.8871e+05,NaN,1.8806e+05,NaN,NaN,NaN,15560,NaN,NaN,NaN,14295,14869,18066,14228,NaN,2.7867e+05,3.2637e+05,2.9834e+05,2.1415e+05,2.3852e+05,2.2508e+05
17776,21560,19290,NaN,NaN,NaN,23139,24619,27832,25831,NaN,25368,13819,NaN,18136,NaN,16240,NaN,NaN,NaN,17671,17814,18699,20074,NaN,14024,16701,NaN,21420,19568
77,82,66,68,100,110,113,74,79,78,NaN,74,791,NaN,NaN,633,648,NaN,532,677,503,567,537,NaN,NaN,NaN,NaN,84,114,NaN
593,647,608,816,782,724,NaN,485,NaN,446,585,511,453,1016,505,NaN,NaN,NaN,NaN,448,578,NaN,469,689,585,NaN,620,571,NaN,NaN
4311,NaN,4849,NaN,5081,NaN,4680,4636,NaN,4385,NaN,NaN,7158,5056,8579,7357,7183,NaN,8183,9027,7471,NaN,6565,4857,4446,4820,NaN,6174,5014,5091
2064,1940,2441,1674,2460,1922,2562,2427,1933,2257,2317,1926,NaN,NaN,NaN,1072,1015,NaN,791,988,NaN,1251,1021,898,939,NaN,775,1179,NaN,NaN
3264,4525,NaN,NaN,4258,3670,3735,3738,4133,4804,4175,3819,16579,NaN,10701,12211,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,NaN,4432,3429
606,1003,NaN,679,NaN,NaN,NaN,564,603,866,604,685,NaN,2377,3481,4006,4279,NaN,3679,3986,4700,4000,4209,3619,NaN,NaN,NaN,NaN,907,718
364,666,437,522,532,503,494,NaN,478,459,385,417,NaN,751,NaN,NaN,NaN,NaN,1436,NaN,NaN,214,240,1063,460,491,444,533,618,545
3102,NaN,NaN,1689,2806,2091,NaN,2999,2505,2678,2532,2427,1535,NaN,1617,2523,1724,NaN,1659,1606,NaN,2579,NaN,NaN,1659,1811,1459,NaN,NaN,1732
43,NaN,119,55,NaN,84,NaN,86,60,102,66,85,63,NaN,46,68,87,NaN,48,47,NaN,73,NaN,40,88,55,42,NaN,69,135
8125,11877,8898,NaN,12497,9024,10300,8508,10995,8135,9021,9447,27669,18222,26685,18640,17693,NaN,19030,19754,25058,19115,25731,17853,NaN,6796,6821,NaN,NaN,NaN
46551,80976,46478,NaN,34747,NaN,NaN,56054,47131,56581,NaN,62747,36751,NaN,44382,75380,NaN,NaN,58075,41650,47472,60628,NaN,70576,NaN,61233,43434,NaN,NaN,66488
426,329,753,8537,493,2802,438,398,292,NaN,3750,868,512,6781,367,NaN,352,NaN,NaN,NaN,NaN,NaN,385,3329,7026,315,768,543,461,NaN
379,NaN,371,459,433,369,NaN,358,325,332,NaN,NaN,315,NaN,NaN,365,298,NaN,NaN,342,297,307,469,NaN,418,NaN,368,361,464,1827
NaN,3270,2665,2781,4038,NaN,5194,4463,3870,5305,4090,3868,3594,NaN,2288,6071,NaN,NaN,NaN,NaN,NaN,NaN,2453,1875,NaN,NaN,NaN,4175,2152,1843
552,NaN,NaN,578,1299,662,1137,764,697,1160,990,510,205,164,204,NaN,NaN,NaN,NaN,NaN,208,NaN,NaN,236,NaN,300,NaN,245,NaN,196
14148,10420,9531,12877,14175,18821,NaN,13493,NaN,16750,23605,16882,1337,2225,NaN,NaN,NaN,NaN,1803,NaN,2981,NaN,2028,1787,11455,9645,7958,13577,14455,11958
2803,NaN,3472,6652,2214,1843,6516,6151,3454,4491,8486,4168,NaN,5084,7815,NaN,NaN,NaN,NaN,2120,1997,8205,4967,NaN,NaN,NaN,NaN,1936,2200,NaN
62199,NaN,NaN,75162,68271,83022,69288,NaN,NaN,NaN,66970,NaN,1.9765e+05,1.1144e+05,1.5974e+05,97837,1.8778e+05,NaN,NaN,NaN,1.2521e+05,1.1282e+05,1.5328e+05,NaN,60476,NaN,62255,68158,78273,70830
2.223e+05,NaN,2.6761e+05,5.7913e+05,2.7615e+05,2.631e+05,NaN,NaN,NaN,NaN,2.4758e+05,2.2056e+05,2.7427e+05,7.8343e+05,3.5916e+05,2.3633e+05,2.4043e+05,NaN,6.441e+05,NaN,4.4714e+05,2.5294e+05,3.9162e+05,5.6892e+05,2.8801e+05,NaN,2.1123e+05,1.9551e+05,NaN,1.6195e+05
NaN,1263,963,NaN,1000,1038,1085,NaN,1025,1082,988,1018,1214,NaN,1012,1188,NaN,NaN,904,986,847,913,984,NaN,982,877,834,NaN,NaN,NaN
14583,NaN,16896,NaN,13856,10983,13833,15209,15831,NaN,NaN,14237,14346,13496,18548,25214,14593,NaN,16247,14390,19122,14228,NaN,NaN,NaN,14704,NaN,16566,16451,15586
1650,3772,1245,1669,4576,3024,NaN,NaN,1494,2966,1647,1421,NaN,2355,2273,NaN,3213,NaN,NaN,4232,2250,NaN,4531,NaN,2522,NaN,2879,2662,1996,1831
3.2071e+05,3.1866e+05,2.9544e+05,2.5232e+05,2.8167e+05,3.101e+05,3.0094e+05,3.0389e+05,3.1841e+05,3.0437e+05,2.7658e+05,2.632e+05,NaN,NaN,2.4993e+05,2.8178e+05,2.6255e+05,NaN,NaN,2.5205e+05,2.7037e+05,2.9169e+05,2.5014e+05,NaN,2.4159e+05,NaN,NaN,2.3658e+05,2.3316e+05,2.7937e+05
888,NaN,1004,NaN,1078,NaN,1150,NaN,820,1165,916,757,977,NaN,1202,1115,NaN,NaN,829,NaN,NaN,1205,NaN,1024,NaN,NaN,NaN,777,895,NaN
60,NaN,NaN,61,58,54,61,48,42,NaN,NaN,92,56,58,59,66,40,NaN,NaN,64,53,79,NaN,54,NaN,57,51,42,NaN,72
1356,1652,1254,NaN,1154,1284,NaN,1438,1452,1368,1169,1295,1642,NaN,1246,1148,1076,NaN,NaN,NaN,1339,1236,1314,1107,1209,1063,NaN,1082,NaN,1228
NaN,1289,NaN,816,788,566,NaN,839,NaN,NaN,709,726,800,NaN,587,NaN,944,NaN,803,628,706,845,1158,860,NaN,682,NaN,NaN,NaN,723
NaN,1690,NaN,NaN,NaN,NaN,2863,4748,1344,5208,1273,NaN,2436,7259,5423,1624,2498,NaN,3354,2798,1923,1620,NaN,NaN,NaN,4292,NaN,1463,1509,7357
63,52,54,NaN,74,60,53,74,NaN,99,74,NaN,423,274,439,225,NaN,NaN,NaN,266,206,216,166,156,72,NaN,51,54,NaN,44
2635,1994,2130,1875,2052,2134,NaN,1907,NaN,2175,2536,2387,NaN,NaN,738,1197,853,NaN,939,NaN,811,1038,NaN,NaN,2333,2647,1704,NaN,1988,2040
10583,14198,9898,10055,8924,NaN,NaN,10769,NaN,11868,NaN,NaN,8721,NaN,9204,11751,13258,NaN,9327,8976,9110,10693,9589,10794,NaN,10718,NaN,8651,NaN,11699
